Date,Price,Open,High,Low,Vol.,Change %
10-Mar-19,3915.20 ,3944.40 ,3944.50 ,3889.20 ,1.89M,-0.74%
9-Mar-19,3944.30 ,3865.60 ,3964.00 ,3859.70 ,2.48M,2.03%
8-Mar-19,3865.90 ,3875.10 ,3929.00 ,3810.70 ,2.96M,-0.24%
7-Mar-19,3875.10 ,3863.10 ,3907.40 ,3847.90 ,2.60M,0.32%
6-Mar-19,3863.00 ,3857.20 ,3887.30 ,3816.70 ,2.52M,0.15%
5-Mar-19,3857.20 ,3715.90 ,3873.20 ,3705.70 ,3.82M,3.80%
4-Mar-19,3715.90 ,3809.70 ,3828.40 ,3681.80 ,2.85M,-2.45%
3-Mar-19,3809.50 ,3823.20 ,3836.60 ,3789.70 ,1.51M,-0.36%
2-Mar-19,3823.10 ,3821.90 ,3843.20 ,3783.60 ,1.61M,0.03%
1-Mar-19,3821.90 ,3816.70 ,3855.80 ,3816.40 ,1.74M,0.14%
28-Feb-19,3816.60 ,3814.60 ,3883.70 ,3783.30 ,2.31M,0.05%
27-Feb-19,3814.60 ,3810.30 ,3836.40 ,3701.90 ,2.82M,0.11%
26-Feb-19,3810.30 ,3833.50 ,3845.50 ,3775.00 ,2.09M,-0.61%
25-Feb-19,3833.70 ,3755.70 ,3870.70 ,3753.80 ,765.87K,2.09%
24-Feb-19,3755.20 ,4120.50 ,4194.20 ,3738.70 ,977.78K,-8.86%
23-Feb-19,4120.40 ,3965.20 ,4152.60 ,3939.40 ,727.85K,3.91%
22-Feb-19,3965.20 ,3937.40 ,3983.10 ,3931.70 ,649.55K,0.73%
21-Feb-19,3936.60 ,3972.00 ,4011.50 ,3909.20 ,668.16K,-0.90%
20-Feb-19,3972.40 ,3914.30 ,3983.60 ,3881.20 ,698.01K,1.48%
19-Feb-19,3914.30 ,3896.40 ,3993.80 ,3863.70 ,1.44M,0.47%
18-Feb-19,3896.00 ,3664.20 ,3903.70 ,3655.10 ,933.15K,6.33%
17-Feb-19,3664.20 ,3616.80 ,3689.90 ,3607.90 ,580.51K,1.31%
16-Feb-19,3616.80 ,3604.70 ,3641.90 ,3599.70 ,485.63K,0.34%
15-Feb-19,3604.70 ,3592.60 ,3648.30 ,3581.40 ,516.21K,0.34%
14-Feb-19,3592.60 ,3611.50 ,3624.50 ,3580.20 ,498.14K,-0.52%
13-Feb-19,3611.50 ,3632.00 ,3663.50 ,3599.20 ,558.02K,-0.56%
12-Feb-19,3632.00 ,3631.80 ,3656.40 ,3594.40 ,545.82K,0.01%
11-Feb-19,3631.80 ,3678.80 ,3681.10 ,3623.80 ,517.28K,-1.28%
10-Feb-19,3679.00 ,3661.00 ,3680.60 ,3617.10 ,501.90K,0.48%
9-Feb-19,3661.40 ,3661.60 ,3675.30 ,3633.20 ,454.80K,-0.01%
8-Feb-19,3661.70 ,3397.30 ,3721.10 ,3382.50 ,699.23K,7.77%
7-Feb-19,3397.70 ,3404.90 ,3421.80 ,3390.30 ,471.36K,-0.20%
6-Feb-19,3404.30 ,3468.50 ,3478.00 ,3383.90 ,514.21K,-1.85%
5-Feb-19,3468.40 ,3463.00 ,3485.90 ,3450.30 ,460.95K,0.16%
4-Feb-19,3462.80 ,3459.00 ,3479.70 ,3437.10 ,503.92K,0.11%
3-Feb-19,3459.10 ,3502.30 ,3507.80 ,3431.30 ,451.66K,-1.24%
2-Feb-19,3502.50 ,3467.90 ,3514.50 ,3447.80 ,443.60K,1.00%
1-Feb-19,3467.90 ,3437.70 ,3485.70 ,3415.30 ,481.58K,0.90%
31-Jan-19,3437.20 ,3460.00 ,3484.70 ,3427.00 ,477.07K,-0.66%
30-Jan-19,3460.00 ,3414.60 ,3479.00 ,3394.20 ,600.25K,1.32%
29-Jan-19,3414.80 ,3442.80 ,3450.10 ,3368.20 ,585.46K,-0.81%
28-Jan-19,3442.80 ,3555.80 ,3561.20 ,3395.70 ,620.85K,-3.17%
27-Jan-19,3555.60 ,3570.90 ,3583.20 ,3509.20 ,464.02K,-0.43%
26-Jan-19,3570.90 ,3572.00 ,3652.50 ,3556.10 ,432.55K,-0.03%
25-Jan-19,3572.00 ,3574.30 ,3582.60 ,3542.20 ,448.89K,-0.06%
24-Jan-19,3574.30 ,3561.40 ,3587.00 ,3539.70 ,428.60K,0.36%
23-Jan-19,3561.50 ,3580.10 ,3608.30 ,3532.80 ,445.87K,-0.52%
22-Jan-19,3580.10 ,3536.90 ,3607.90 ,3465.20 ,447.70K,1.23%
21-Jan-19,3536.70 ,3542.70 ,3561.40 ,3505.40 ,394.17K,-0.16%
20-Jan-19,3542.30 ,3676.20 ,3699.10 ,3503.90 ,563.31K,-3.68%
19-Jan-19,3677.80 ,3605.80 ,3715.20 ,3604.10 ,537.06K,2.00%
