Date,Price,Open,High,Low,Vol.,Change %
6-Sep-20,0.0926 ,0.0900 ,0.0956 ,0.0856,713.37M,2.92%
5-Sep-20,0.0900 ,0.1017 ,0.1039 ,0.0862,989.94M,-11.51%
4-Sep-20,0.1017 ,0.0948 ,0.1039 ,0.0928,1.24B,7.26%
3-Sep-20,0.0948 ,0.1149 ,0.1169 ,0.0928,982.10M,-17.54%
2-Sep-20,0.1149 ,0.1245 ,0.1264 ,0.111,692.55M,-7.69%
1-Sep-20,0.1245 ,0.1225 ,0.1280 ,0.1191,647.01M,1.68%
31-Aug-20,0.1225 ,0.1175 ,0.1266 ,0.1131,805.51M,4.22%
30-Aug-20,0.1175 ,0.1162 ,0.1187 ,0.1137,438.73M,1.07%
29-Aug-20,0.1163 ,0.1093 ,0.1178 ,0.1082,430.43M,6.37%
28-Aug-20,0.1093 ,0.1072 ,0.1113 ,0.1061,498.13M,1.97%
27-Aug-20,0.1072 ,0.1144 ,0.1156 ,0.1022,734.80M,-6.31%
26-Aug-20,0.1144 ,0.1124 ,0.1181 ,0.1102,601.41M,1.79%
25-Aug-20,0.1124 ,0.1236 ,0.1239 ,0.1055,868.15M,-9.10%
24-Aug-20,0.1236 ,0.1214 ,0.1269 ,0.1201,403.13M,1.85%
23-Aug-20,0.1214 ,0.1253 ,0.1259 ,0.1195,365.80M,-3.09%
22-Aug-20,0.1253 ,0.1229 ,0.1262 ,0.1184,459.12M,1.90%
21-Aug-20,0.1229 ,0.1340 ,0.1342 ,0.1215,568.98M,-8.26%
20-Aug-20,0.1340 ,0.1296 ,0.1344 ,0.1261,465.46M,3.40%
19-Aug-20,0.1296 ,0.1370 ,0.1382 ,0.1266,632.39M,-5.39%
18-Aug-20,0.1370 ,0.1405 ,0.1439 ,0.1345,503.01M,-2.50%
17-Aug-20,0.1405 ,0.1388 ,0.1447 ,0.1374,652.12M,1.21%
16-Aug-20,0.1388 ,0.1384 ,0.1395 ,0.135,373.36M,0.29%
15-Aug-20,0.1384 ,0.1383 ,0.1416 ,0.1365,468.83M,0.10%
14-Aug-20,0.1383 ,0.1394 ,0.1410 ,0.1375,437.03M,-0.80%
13-Aug-20,0.1394 ,0.1367 ,0.1419 ,0.1322,629.97M,1.99%
12-Aug-20,0.1367 ,0.1369 ,0.1378 ,0.1243,688.90M,-0.14%
11-Aug-20,0.1368 ,0.1439 ,0.1444 ,0.1318,577.55M,-4.87%
10-Aug-20,0.1439 ,0.1452 ,0.1465 ,0.1419,538.55M,-0.91%
9-Aug-20,0.1452 ,0.1468 ,0.1522 ,0.1421,680.86M,-1.09%
8-Aug-20,0.1468 ,0.1388 ,0.1475 ,0.1373,497.23M,5.77%
7-Aug-20,0.1388 ,0.1443 ,0.1470 ,0.1333,545.18M,-3.83%
6-Aug-20,0.1443 ,0.1422 ,0.1457 ,0.14,443.60M,1.46%
5-Aug-20,0.1422 ,0.1433 ,0.1452 ,0.1403,460.38M,-0.73%
4-Aug-20,0.1433 ,0.1372 ,0.1479 ,0.1363,677.47M,4.41%
3-Aug-20,0.1372 ,0.1337 ,0.1391 ,0.1322,424.27M,2.61%
2-Aug-20,0.1337 ,0.1442 ,0.1482 ,0.1267,902.03M,-7.24%
1-Aug-20,0.1442 ,0.1388 ,0.1466 ,0.1383,674.87M,3.82%
31-Jul-20,0.1388 ,0.1405 ,0.1411 ,0.1359,416.19M,-1.15%
30-Jul-20,0.1405 ,0.1392 ,0.1425 ,0.137,498.13M,0.89%
29-Jul-20,0.1392 ,0.1488 ,0.1497 ,0.1386,817.30M,-6.43%
28-Jul-20,0.1488 ,0.1387 ,0.1507 ,0.1349,1.18B,7.31%
27-Jul-20,0.1387 ,0.1482 ,0.1497 ,0.1304,1.72B,-6.42%
26-Jul-20,0.1482 ,0.1435 ,0.1542 ,0.1416,1.60B,3.24%
25-Jul-20,0.1435 ,0.1220 ,0.1456 ,0.1219,1.37B,17.68%
24-Jul-20,0.1220 ,0.1242 ,0.1243 ,0.1208,353.46M,-1.80%
23-Jul-20,0.1242 ,0.1238 ,0.1260 ,0.1237,410.78M,0.28%
22-Jul-20,0.1238 ,0.1231 ,0.1245 ,0.1205,352.25M,0.58%
21-Jul-20,0.1231 ,0.1178 ,0.1245 ,0.1169,512.49M,4.56%
20-Jul-20,0.1178 ,0.1240 ,0.1241 ,0.1161,438.33M,-4.99%
19-Jul-20,0.1239 ,0.1227 ,0.1247 ,0.1213,376.55M,1.03%
18-Jul-20,0.1227 ,0.1222 ,0.1247 ,0.1183,553.94M,0.36%
17-Jul-20,0.1222 ,0.1260 ,0.1265 ,0.1219,579.38M,-2.99%
16-Jul-20,0.1260 ,0.1306 ,0.1330 ,0.1187,1.12B,-3.52%
15-Jul-20,0.1306 ,0.1324 ,0.1327 ,0.1275,748.53M,-1.37%
14-Jul-20,0.1324 ,0.1244 ,0.1348 ,0.1212,1.16B,6.42%
13-Jul-20,0.1244 ,0.1269 ,0.1357 ,0.1222,1.41B,-1.96%
12-Jul-20,0.1269 ,0.1252 ,0.1284 ,0.1206,887.71M,1.37%
11-Jul-20,0.1252 ,0.1184 ,0.1270 ,0.118,972.21M,5.74%
10-Jul-20,0.1184 ,0.1240 ,0.1242 ,0.1105,1.47B,-4.52%
9-Jul-20,0.1240 ,0.1299 ,0.1299 ,0.1177,1.75B,-4.56%
8-Jul-20,0.1299 ,0.1177 ,0.1382 ,0.115,2.92B,10.43%
7-Jul-20,0.1177 ,0.1051 ,0.1189 ,0.103,1.49B,11.97%
6-Jul-20,0.1051 ,0.0983 ,0.1064 ,0.0973,971.56M,6.94%
5-Jul-20,0.0983 ,0.1000 ,0.1001 ,0.0943,828.32M,-1.74%
4-Jul-20,0.1000 ,0.0966 ,0.1011 ,0.096,962.94M,3.56%
3-Jul-20,0.0966 ,0.0929 ,0.1019 ,0.0923,1.38B,3.89%
2-Jul-20,0.0929 ,0.0969 ,0.0969 ,0.088,1.40B,-4.03%
1-Jul-20,0.0969 ,0.0830 ,0.0969 ,0.0825,1.11B,16.64%
30-Jun-20,0.0830 ,0.0839 ,0.0847 ,0.0819,455.05M,-1.02%
29-Jun-20,0.0839 ,0.0803 ,0.0844 ,0.0803,655.43M,4.43%
28-Jun-20,0.0803 ,0.0774 ,0.0811 ,0.0763,487.63M,3.80%
27-Jun-20,0.0774 ,0.0806 ,0.0810 ,0.0749,459.37M,-4.03%
26-Jun-20,0.0806 ,0.0817 ,0.0818 ,0.0797,370.20M,-1.25%
25-Jun-20,0.0817 ,0.0825 ,0.0835 ,0.0788,559.70M,-1.08%
24-Jun-20,0.0825 ,0.0828 ,0.0871 ,0.0801,874.13M,-0.28%
23-Jun-20,0.0828 ,0.0836 ,0.0844 ,0.0816,388.38M,-0.96%
22-Jun-20,0.0836 ,0.0784 ,0.0839 ,0.0783,461.60M,6.62%
21-Jun-20,0.0784 ,0.0795 ,0.0809 ,0.0782,328.80M,-1.43%
20-Jun-20,0.0795 ,0.0799 ,0.0802 ,0.0772,371.98M,-0.51%
19-Jun-20,0.0799 ,0.0818 ,0.0819 ,0.0787,551.93M,-2.31%
18-Jun-20,0.0818 ,0.0835 ,0.0845 ,0.0801,650.93M,-1.94%
17-Jun-20,0.0834 ,0.0792 ,0.0837 ,0.0774,857.71M,5.39%
16-Jun-20,0.0792 ,0.0782 ,0.0796 ,0.0768,645.47M,1.21%
15-Jun-20,0.0782 ,0.0764 ,0.0798 ,0.0695,1.11B,2.38%
14-Jun-20,0.0764 ,0.0790 ,0.0791 ,0.0758,271.37M,-3.33%
13-Jun-20,0.0790 ,0.0795 ,0.0796 ,0.0773,399.50M,-0.54%
12-Jun-20,0.0795 ,0.0753 ,0.0808 ,0.075,674.43M,5.59%
11-Jun-20,0.0753 ,0.0836 ,0.0850 ,0.0742,986.23M,-9.93%
10-Jun-20,0.0836 ,0.0829 ,0.0839 ,0.0795,845.30M,0.79%
9-Jun-20,0.0829 ,0.0864 ,0.0867 ,0.0829,417.68M,-4.09%
8-Jun-20,0.0864 ,0.0865 ,0.0869 ,0.0846,433.67M,-0.11%
7-Jun-20,0.0865 ,0.0862 ,0.0886 ,0.0828,848.38M,0.41%
6-Jun-20,0.0862 ,0.0852 ,0.0872 ,0.0849,538.99M,1.17%
5-Jun-20,0.0852 ,0.0888 ,0.0891 ,0.084,1.05B,-4.08%
4-Jun-20,0.0888 ,0.0855 ,0.0902 ,0.084,1.88B,3.86%
3-Jun-20,0.0855 ,0.0788 ,0.0857 ,0.0773,1.63B,8.53%
2-Jun-20,0.0788 ,0.0809 ,0.0824 ,0.0717,1.70B,-2.64%
1-Jun-20,0.0809 ,0.0742 ,0.0829 ,0.0737,2.07B,9.11%
31-May-20,0.0742 ,0.0769 ,0.0863 ,0.0724,2.73B,-3.53%
30-May-20,0.0769 ,0.0647 ,0.0774 ,0.0637,1.72B,18.81%
29-May-20,0.0647 ,0.0650 ,0.0665 ,0.0626,1.02B,-0.42%
28-May-20,0.0650 ,0.0551 ,0.0674 ,0.0549,1.06B,17.91%
27-May-20,0.0551 ,0.0535 ,0.0559 ,0.053,451.11M,2.92%
26-May-20,0.0535 ,0.0539 ,0.0541 ,0.052,390.24M,-0.65%
25-May-20,0.0539 ,0.0514 ,0.0543 ,0.0511,485.43M,4.75%
24-May-20,0.0514 ,0.0549 ,0.0561 ,0.0514,410.63M,-6.31%
23-May-20,0.0549 ,0.0557 ,0.0565 ,0.0542,358.31M,-1.51%
22-May-20,0.0557 ,0.0521 ,0.0570 ,0.0513,612.15M,7.03%
21-May-20,0.0521 ,0.0569 ,0.0576 ,0.0504,710.78M,-8.42%
20-May-20,0.0569 ,0.0568 ,0.0576 ,0.0541,539.81M,0.19%
19-May-20,0.0568 ,0.0543 ,0.0570 ,0.0526,520.70M,4.50%
18-May-20,0.0543 ,0.0513 ,0.0550 ,0.0511,591.41M,5.92%
17-May-20,0.0513 ,0.0510 ,0.0522 ,0.0509,259.51M,0.51%
16-May-20,0.0510 ,0.0503 ,0.0514 ,0.0499,337.38M,1.51%
15-May-20,0.0503 ,0.0510 ,0.0519 ,0.0498,441.86M,-1.42%
14-May-20,0.0510 ,0.0515 ,0.0520 ,0.0504,470.38M,-0.99%
13-May-20,0.0515 ,0.0504 ,0.0522 ,0.0496,498.25M,2.14%
12-May-20,0.0504 ,0.0479 ,0.0510 ,0.0477,654.24M,5.02%
11-May-20,0.0480 ,0.0476 ,0.0500 ,0.045,1.02B,0.80%
10-May-20,0.0476 ,0.0515 ,0.0516 ,0.0427,1.16B,-7.49%
9-May-20,0.0515 ,0.0520 ,0.0530 ,0.0514,457.37M,-0.97%
8-May-20,0.0520 ,0.0512 ,0.0537 ,0.0509,606.90M,1.59%
7-May-20,0.0512 ,0.0489 ,0.0515 ,0.0484,491.77M,4.59%
6-May-20,0.0489 ,0.0495 ,0.0511 ,0.0487,426.75M,-1.03%
5-May-20,0.0495 ,0.0494 ,0.0505 ,0.0487,453.11M,0.00%
4-May-20,0.0494 ,0.0490 ,0.0501 ,0.0461,748.26M,0.86%
3-May-20,0.0490 ,0.0509 ,0.0517 ,0.0477,496.99M,-3.72%
2-May-20,0.0509 ,0.0509 ,0.0514 ,0.0495,411.83M,0.00%
1-May-20,0.0509 ,0.0476 ,0.0518 ,0.0475,630.03M,7.06%
30-Apr-20,0.0476 ,0.0514 ,0.0543 ,0.0471,1.22B,-7.54%
29-Apr-20,0.0514 ,0.0468 ,0.0520 ,0.0468,839.19M,9.90%
28-Apr-20,0.0468 ,0.0465 ,0.0480 ,0.046,567.45M,0.69%
27-Apr-20,0.0465 ,0.0459 ,0.0476 ,0.0443,756.60M,1.22%
26-Apr-20,0.0459 ,0.0422 ,0.0461 ,0.0419,671.41M,8.75%
25-Apr-20,0.0422 ,0.0417 ,0.0436 ,0.0411,468.58M,1.40%
24-Apr-20,0.0417 ,0.0408 ,0.0439 ,0.0408,845.26M,2.01%
23-Apr-20,0.0408 ,0.0366 ,0.0425 ,0.0365,857.99M,11.49%
22-Apr-20,0.0366 ,0.0345 ,0.0367 ,0.0344,256.43M,6.05%
21-Apr-20,0.0345 ,0.0339 ,0.0350 ,0.0338,299.92M,1.73%
20-Apr-20,0.0339 ,0.0355 ,0.0366 ,0.0339,427.11M,-4.40%
19-Apr-20,0.0355 ,0.0365 ,0.0367 ,0.0351,349.28M,-2.79%
18-Apr-20,0.0365 ,0.0343 ,0.0370 ,0.0343,312.67M,6.40%
17-Apr-20,0.0343 ,0.0345 ,0.0349 ,0.0341,256.35M,-0.35%
16-Apr-20,0.0345 ,0.0319 ,0.0350 ,0.0309,506.50M,8.15%
15-Apr-20,0.0319 ,0.0331 ,0.0337 ,0.0318,228.57M,-3.78%
14-Apr-20,0.0331 ,0.0331 ,0.0337 ,0.0327,245.24M,0.00%
13-Apr-20,0.0331 ,0.0335 ,0.0335 ,0.0319,372.89M,-1.03%
12-Apr-20,0.0335 ,0.0335 ,0.0349 ,0.0329,270.20M,0.00%
11-Apr-20,0.0334 ,0.0332 ,0.0341 ,0.0327,310.11M,0.71%
10-Apr-20,0.0332 ,0.0361 ,0.0362 ,0.0322,491.59M,-7.95%
